Marca,title,title_url,price,Price_url
LG,"TV 65UN7300 LG | UHD LED TV 65"" | Ultra HD Smart TV 4K | Procesador Quad Core | ThinQ™ AI | HDR Activo 4K | Filmaker Mode™ | Sonido Ultra Envolvente",https://www.panafoto.com/tv-65-uhd-4k-smart-tv-ultra-hd-led-procesador-quad-core-panel-ips-thinq-ai-bluetooth-2-0-canales-20w-3-hdmi-2-usb-143303-8380,Ahora|$649.00,https://www.panafoto.com/tv-65-uhd-4k-smart-tv-ultra-hd-led-procesador-quad-core-panel-ips-thinq-ai-bluetooth-2-0-canales-20w-3-hdmi-2-usb-143303-8380
LG,"TV 60UN7300 LG | UHD LED TV 60"" | Ultra HD Smart TV 4K | Procesador Quad Core | ThinQ™ AI | HDR Activo 4K | Filmaker Mode™ | Sonido Ultra Envolvente",https://www.panafoto.com/tv-60-uhd-4k-smart-tv-ultra-hd-led-procesador-quad-core-thinq-ai-bluetooth-2-0-canales-con-20-watts-20w-3-hdmi-2-usb-143302-5503,Ahora|$629.00,https://www.panafoto.com/tv-60-uhd-4k-smart-tv-ultra-hd-led-procesador-quad-core-thinq-ai-bluetooth-2-0-canales-con-20-watts-20w-3-hdmi-2-usb-143302-5503
LG,"TV 55UN7300 LG | UHD LED TV 55"" | Ultra HD Smart TV 4K | Procesador Quad Core | ThinQ™ AI | HDR Activo 4K | Filmaker Mode™ | Sonido Ultra Envolvente",https://www.panafoto.com/tv-55-uhd-4k-smart-tv-ultra-hd-led-procesador-quad-core-thinq-ai-bluetooth-2-0-canales-20w-3-puertos-hdmi-2-usb-143300-5190,Ahora|$559.00,https://www.panafoto.com/tv-55-uhd-4k-smart-tv-ultra-hd-led-procesador-quad-core-thinq-ai-bluetooth-2-0-canales-20w-3-puertos-hdmi-2-usb-143300-5190
LG,"TV 43UN7300 LG | UHD LED TV 43"" | Ultra HD Smart TV 4K | Procesador Quad Core | ThinQ™ AI | HDR Activo 4K | Filmaker Mode™ | Sonido Ultra Envolvente",https://www.panafoto.com/tv-43-uhd-4k-smart-tv-dvb-t-procesador-quad-core-thinq-ai-4k-hdr-activo-entretenimiento-sin-limites-bluetooth-20w-3-hdmi-2-usb-143295-9771,Ahora|$379.00,https://www.panafoto.com/tv-43-uhd-4k-smart-tv-dvb-t-procesador-quad-core-thinq-ai-4k-hdr-activo-entretenimiento-sin-limites-bluetooth-20w-3-hdmi-2-usb-143295-9771
HISENSE,"HISENSE H6000FY TV LED DE 43"" | UHD 4K | SMART TV | HDMI | USB | DVB-T  | 3 años de Garantía",https://www.panafoto.com/tv-led-de-43-4k-smart-tv-hdmi-usb-dvb-t-4-anos-de-garantia-143277-4595,Ahora|$279.95,https://www.panafoto.com/tv-led-de-43-4k-smart-tv-hdmi-usb-dvb-t-4-anos-de-garantia-143277-4595
LG,"TV 50UN7300 LG | UHD LED TV 50"" | Ultra HD Smart TV 4K | Procesador Quad Core | ThinQ™ AI | HDR Activo 4K | Filmaker Mode™ | Sonido Ultra Envolvente | Wi-Fi | Bluetooth",https://www.panafoto.com/tv-led-de-50-smart-web-os-4k-procesador-quad-core-bluetooth-3-hdmi-hdr-20w-143279-9839,Ahora|$479.00,https://www.panafoto.com/tv-led-de-50-smart-web-os-4k-procesador-quad-core-bluetooth-3-hdmi-hdr-20w-143279-9839
HISENSE,"Hisense H5000FY | Televisor LED |  40"" Pulgadas | FHD  Smart TV | Negro | 1 año de Garantía",https://www.panafoto.com/televisor-led-hisense-40-pulgadas-fhd-con-smart-tv-143238-5877,Ahora|$259.95,https://www.panafoto.com/televisor-led-hisense-40-pulgadas-fhd-con-smart-tv-143238-5877
HISENSE,Hisense H5000FY | LED de 32 Smart | HDMI 2 | USB 2 | LAN 1 | Optico 1 | DVB-T | Negro | 1 año Garantia,https://www.panafoto.com/hisense-led-de-32-smart-hdmi-2-usb-2-lan-1-optico-1-dvb-t-143237-4254,Ahora|$169.95,https://www.panafoto.com/hisense-led-de-32-smart-hdmi-2-usb-2-lan-1-optico-1-dvb-t-143237-4254
SAMSUNG,"85"" TU8000 Crystal UHD 4K Smart TV Samsung | DVB-T | Bluetooth | One Remote - Negro",https://www.panafoto.com/samsung-led-85-dvbt-4k-uhd-smart-btooth-modo-auto-de-juegos-sistema-tizen-one-remote-multiple-dispositivos-voz-alea-bixby-google-asist-airplay2-3h-2-143230-7407,"Ahora|$1,799.95",https://www.panafoto.com/samsung-led-85-dvbt-4k-uhd-smart-btooth-modo-auto-de-juegos-sistema-tizen-one-remote-multiple-dispositivos-voz-alea-bixby-google-asist-airplay2-3h-2-143230-7407
SONY,TV SONY  32” | LED | HD| Imagen más refinada y Limpia con X-REALITY PRO | SMART TV,https://www.panafoto.com/televisor-smart-tv-sony-hd-32-negro-kdl32w607d,$259.95,https://www.panafoto.com/televisor-smart-tv-sony-hd-32-negro-kdl32w607d
SONY,TV SONY  40” | LED | FULL HD| Imagen más refinada y Limpia con X-REALITY PRO| SMART TV,https://www.panafoto.com/televisor-smart-tv-sony-full-hd-40-negro-kdl40w657d,$349.95,https://www.panafoto.com/televisor-smart-tv-sony-full-hd-40-negro-kdl40w657d
LG,"LG OLED65B9PSB | OLED TV 65"" | Procesador α7 Gen 2 | ThinQ™ AI | 360º VR Play | Resolución tipo Cine 4K HDR / HFR | Dolby Vision - Atmos | Pantalla tipo Cine",https://www.panafoto.com/tv-oled-de-65-4k-smart-tv-hdmi-141284-1397,"Ahora|$2,199.95",https://www.panafoto.com/tv-oled-de-65-4k-smart-tv-hdmi-141284-1397
LG,"LG OLED55B9PSB | OLED TV 55"" | Procesador α7 Gen 2 | ThinQ™ AI | 360º VR Play | Resolución tipo Cine 4K HDR / HFR | Dolby Vision - Atmos | Pantalla tipo Cine",https://www.panafoto.com/tv-oled-de-55-4k-smart-tv-hdmi-141281-2326,"Ahora|$1,299.95",https://www.panafoto.com/tv-oled-de-55-4k-smart-tv-hdmi-141281-2326
LG,"LG 43LM6300PDB | Full HD LED TV 43"" | Smart TV | FHD | Procesador Quad Core | ThinQ™ AI | 360º VR Play | Sonido Envolvente | 3 Puertos HDMI | 2 Puertos USB",https://www.panafoto.com/tv-led-de-43-2-full-hd-smart-tv-hdmi-usb-140832-6593,Ahora|$339.00,https://www.panafoto.com/tv-led-de-43-2-full-hd-smart-tv-hdmi-usb-140832-6593
LG,"LG 32LM630BPDB | HD LED TV 32"" | Smart TV | Procesador Quad Core | ThinQ™ AI | Sonido Envolvente | 3 Puertos HDMI | 2 Puertos USB",https://www.panafoto.com/tv-led-32-full-hd-smart-tv-dvb-t-active-hdr-thin-q-ai-10w-clear-voice-iii-dolby-audio-3-hdmi-2usb-140659-5399,Ahora|$229.00,https://www.panafoto.com/tv-led-32-full-hd-smart-tv-dvb-t-active-hdr-thin-q-ai-10w-clear-voice-iii-dolby-audio-3-hdmi-2usb-140659-5399
SAMSUNG,LED 75 4K DIGITAL SIGNAGE Tizen OS 4 0 60Hz 2 HDMI 2USB 178 GRADO DE VISION,https://www.panafoto.com/led-75-4k-digital-signage-tizen-os-4-0-60hz-2-hdmi-2usb-178-grado-de-vision-142817-7341,"Ahora|$2,399.95",https://www.panafoto.com/led-75-4k-digital-signage-tizen-os-4-0-60hz-2-hdmi-2usb-178-grado-de-vision-142817-7341
